sex	height	weight	temperature
Male	1798,898741592	90,8868180460278	37,5335350691742
Male	1799,34117283262	90,3888652333162	37,3324730913073
Male	1800,29036028392	88,8608532951523	37,0283429023265
Male	1798,85665993786	90,3563046321261	37,6830321579918
Male	1645	92,0651292410413	36,6765544319177
Male	1800,63226600367	88,8817015834873	37,1211018356903
Male	1800,0370698601	89,5109889477256	36,0971257526656
Male	1799,21141748388	90,3112265963225	32,5880785210361
Male	1799,56319531418	91,0347440438978	37,5950079121382
Male	1799,21457685002	89,0141118490416	33,6063080726084
Male	1800,60733662644	90,4749171703424	34,4211577069534
Male	1801,65282366589	87,6519413732171	35,0252192042407
Male	1801,02228154018	92,0713648010429	35,9792351851491
Male	1903	91,5271623624644	37,516967537951
Male	1884	88,6077552232658	39,9651661098381
Male	1800,99842006476	90,9294503154121	39,0262287137721
Male	1801,23090508877	91,7365341043915	38,9800909455433
Male	1799,76186312247	89,6304624873451	37,0170345937854
Male	1799,23175135976	89,268107825815	39,7660190289556
Male	1698	90,1641996213585	36,937562028805
Male	1793	90,0618426167401	35,113194930887
Male	1799,23826161615	90,645313638569	34,0367279071691
Female	1606,84675635195	56,3410561348127	36,2559212092962
Female	1606,24629723993	56,285391866865	36,8755832402229
Female	1607,02426575551	55,9057680423028	37,8441477822886
Female	1604,45723661841	56,6454805878864	36,8089786366864
Female	1606,25	56,1499404156183	34,5603436955612
Female	1601	55,9133258346741	39,8953090450686
Female	1604,3988562025	57,8158983486408	37,3186619734032
Female	179	56,2903113244012	35,14660039789
Female	1598	55,5841596253123	37,3686411733334
Female	1604,39373150789	58,0859682751732	38,8482356530263
Female	1609	55,44801845595	35,4624203301341
Female	1604,42383595917	55,9664620159237	36,5672506660311
Female	1709	55,5962473888869	39,447117309692
Female	1605,83433898117	56,0384279815519	36,0591669980269
Female	1604,67152930744	57,6560174646891	38,9800187348778
Female	1603,70135512355	-55,6	39,7193333537895
Female	1604,90769086019	54,4772757713391	37,8644274150753
Female	1603	56,1351094024501	38,7975383789658
