     ,00    1799    90,9   37,53
     ,00    1799    90,4   37,33
     ,00    1800    88,9   37,03
     ,00    1799    90,4   37,68
     ,00    1645    92,1   36,68
     ,00    1801    88,9   37,12
     ,00    1800    89,5   36,10
     ,00    1799    90,3   32,59
     ,00    1800    91,0   37,60
     ,00    1799    89,0   33,61
     ,00    1801    90,5   34,42
     ,00    1802    87,7   35,03
     ,00    1801    92,1   35,98
     ,00    1903    91,5   37,52
     ,00    1884    88,6   39,97
     ,00    1801    90,9   39,03
     ,00    1801    91,7   38,98
     ,00    1800    89,6   37,02
     ,00    1799    89,3   39,77
     ,00    1698    90,2   36,94
     ,00    1793    90,1   35,11
     ,00    1799    90,6   34,04
    1,00    1607    56,3   36,26
    1,00    1606    56,3   36,88
    1,00    1607    55,9   37,84
    1,00    1604    56,6   36,81
    1,00    1606    56,1   34,56
    1,00    1601    55,9   39,90
    1,00    1604    57,8   37,32
    1,00     179    56,3   35,15
    1,00    1598    55,6   37,37
    1,00    1604    58,1   38,85
    1,00    1609    55,4   35,46
    1,00    1604    56,0   36,57
    1,00    1709    55,6   39,45
    1,00    1606    56,0   36,06
    1,00    1605    57,7   38,98
    1,00    1604   -55,6   39,72
    1,00    1605    54,5   37,86
    1,00    1603    56,1   38,80
