mtbf	mttr	duty_cycle	factory
2,59255225263111	19,0785401179763	,983216608224985	0
4,40077012040605	19,1918508293056	,23	0
2,62790067739409	18,7928704777611	,677365120990044	1
7,447208317339	35,0676002703492	,9	1
8,28807062731926	36,3418174141689	,875578042225869	0
5,43925500319755	29,6705526584558	,257710533453291	0
12,8530269498606	50,184123230475	,51826874775561	1
26,4711026147396	90,6405923022616	,978565542812602	1
9,66891936912432	41,6886067224705	,93	0
8,31147943416851	35,1155839434571	,161188988097024	0
3,83765656505579	23,844925258808	,92	1
8,12300464693374	35,3225830278503	,99	0
1,62797845745436	14,0641300983041	,98	1
14,8401107853899	60,8131684916811	,58426877100042	1
8,30221510393979	35,8345732880344	,1	0
